id_noticia,id_accion_contenciosa,id_conflicto,fecha,link,medio,tipo_medio,region,columna,localidad_accion,periodo,tipo_energia,subtipo_renovable,tipo_conflicto,tipo_accion,tipo_actor_demandante,actor_demandante,tipo_actor_demandado,actor_demandado,bajada
,,,2024-06-21,https://www.1ta.cl/primer-tribunal-ambiental-resuelve-reclamaciones-humedales-arica/,Primer Tribunal Ambiental,,Arica y Parinacota,Arica,,,,,,,,,,,"Cuatro son las reclamaciones respecto de las cuales este 04 de junio se pronunció el Primer Tribunal Ambiental, todas ellas presentadas en"
,,,2022-11-19,https://www.laizquierdadiario.cl/La-estela-del-gobierno-de-Pinera-conflictos-de-interes-y-financiamiento-al-proyecto-minero-Pampa,La Izquierda Diario Chile,,Arica y Parinacota,Arica,,,,,,,,,,,"El miércoles 16 de noviembre, la revista CIPER publicó una investigación sobre la participación de la familia Piñera en el proyecto minero"
,,,2015-10-23,https://www.interior.gob.cl/noticias-regionales/2015/10/23/ministerio-de-salud-inauguro-en-arica-moderno-laboratorio-de-salud-publica-ambiental-y-laboral/,Ministerio del Interior y Seguridad Pública,,Arica y Parinacota,Arica,,,,,,,,,,,El laboratorio será capaz de realizar toda la matriz de análisis básicos en el modelo de gestión de laboratorios de Salud Pública en
,,,2024-10-01,https://mma.gob.cl/autoridades/,mma.gob.cl,,Arica y Parinacota,Arica,,,,,,,,,,,"Ministra del Medio Ambiente. Doctora en Ciencias Atmosféricas de la Universidad de Oxford, Reino Unido. Se desempeñó como profesora asociada en el"
,,,2024-07-21,https://www.revistadefrente.cl/en-arica-se-contamina-con-arsenico-y-quieren-contaminar-tambien-con-residuos-de-desalinizacion-por-miguel-silva/,Revista De Frente,,Arica y Parinacota,Arica,,,,,,,,,,,"Los dos valles en Arica están contaminados con materiales pesados como arsénico, y como tal, han aparecido enfermedades raras…hace 3 meses"
,,,2019-01-16,https://es.mongabay.com/2019/01/chile-humedal-de-arica-bajo-amenaza/,Mongabay - Conservation News,,Arica y Parinacota,Arica,,,,,,,,,,,Se estima que en Chile existen cerca de 18 mil humedales y solo el 2 % cuenta con algún tipo de protección. El humedal del río Lluta es el
,,,2024-10-19,https://cooperativa.cl/noticias/pais/region-de-arica/senador-udi-teme-enfrentamiento-de-chilenos-y-bolivianos-por-bloqueo-de/2024-10-19/175658.html,Cooperativa.cl,,Arica y Parinacota,Arica,,,,,,,,,,,"Una compleja situación se vive en la Ruta 11-CH, que conecta la Región de Arica y Parinacota con Bolivia, por el paro indefinido de los"
,,,2021-05-30,https://www.elmostrador.cl/destacado/2021/05/30/inclumplimiento-toxico-hace-22-anos-la-corte-suprema-ordeno-retirar-las-20-mil-toneladas-de-desechos-quimicos-suecos-de-arica-pero-siguen-ahi/,El Mostrador,,Arica y Parinacota,Arica,,,,,,,,,,,"En 1998 la Corte Suprema ordenó medidas de seguridad para las miles de toneladas de desechos tóxicos, de origen sueco que fueron vertidos"
,,,2024-11-28,https://tribunalambiental.cl/sentencia-d-25-2016-pampa-camarones/,Tribunal Ambiental |,,Arica y Parinacota,Arica,,,,,,,,,,,Acogió demanda de reparación por daño ambiental presentada por el Estado en contra del titular del proyecto minero ubicado en la Región de
,,,2021-07-09,https://doble-espacio.uchile.cl/2021/07/09/la-olvidada-zona-gris-de-arica/,Universidad de Chile,,Arica y Parinacota,Arica,,,,,,,,,,,En 2015 Alejandra Yucra desocupó la casa que fue su hogar por casi 20 años. La esperanza de la vivienda propia en el Cerro Chuño de Arica se
,,,2021-02-17,https://es.mongabay.com/2021/02/chile-los-impactos-no-evaluados-de-la-mineria-en-el-monumento-natural-salar-de-surire/,Mongabay - Conservation News,,Arica y Parinacota,Arica,,,,,,,,,,,Habitantes cercanos al salar de Surire aseguran que las poblaciones de flamencos se han reducido debido a las actividades mineras que
,,,2024-01-04,https://www.paiscircular.cl/medio-ambiente/marcela-godoy-presidenta-del-segundo-tribunal-ambiental-estoy-convencida-de-que-la-justicia-ambiental-solo-cuando-es-pronta-y-oportuna-es-realmente-justicia/,País Circular,,Arica y Parinacota,Arica,,,,,,,,,,,"Medio Ambiente / Oriunda de Antofagasta, la abogada Marcela Godoy juró hace poco más de cuatro meses como ministra titular del Segundo"
,,,2019-07-24,https://interferencia.cl/articulos/minera-de-larrainvial-suma-multas-ambientales-morosas-por-mas-de-2500-millones,Interferencia |,,Arica y Parinacota,Arica,,,,,,,,,,,"El proyecto Pampa Camarones SpA, propiedad de Minería Activa -una empresa de LarrainVial- está a la cabeza del ránking de multas impagas en"
,,,2022-03-10,https://cooperativa.cl/noticias/pais/region-de-arica/polemica-en-arica-por-toma-ilegal-en-humedal-del-rio-lluta/2022-03-10/134509.html,Cooperativa.cl,,Arica y Parinacota,Arica,,,,,,,,,,,"La comunidad ecológica ""Bella Vista Hermosa"" instaló viviendas en el lugar de 52 hectáreas. El Comité Ambiental de Arica advirtió que la"
,,,2024-09-20,https://www.soychile.cl/arica/sociedad/2024/09/10/876207/mediacion-quiborax-arica.html,soychile.cl,,Arica y Parinacota,Arica,,,,,,,,,,,Empresa espera que ahora Tribunal Ambiental lidere propuesta.hace 2 meses
,,,2021-11-18,https://www.laizquierdadiario.cl/El-sueno-de-la-casa-propia-Como-enfrentamos-el-problema-de-la-vivienda-en-Arica,La Izquierda Diario Chile,,Arica y Parinacota,Arica,,,,,,,,,,,"El problema de la vivienda en Arica y Parinacota, ha sido un problema histórico en la región. Actualmente el déficit habitacional es de"
,,,2020-08-03,https://www.elmorrocotudo.cl/noticia/sociedad/la-realidad-del-agua-envenenada-en-arica-nuestra-vida-junto-quimicos-que-nos-hacen-,El MorroCotudo,,Arica y Parinacota,Arica,,,,,,,,,,,Científicos de Arica investigan problemas ambientales del pasado y presente
,,,2023-08-22,https://www.reporteminero.cl/noticia/noticias/2023/08/quiborax-litio-depositos-desechos-minera-arica,Reporte Minero,,Arica y Parinacota,Arica,,,,,,,,,,,"Compartir. La singularidad del proyecto de Quiborax radica en que el litio se encuentra ya extraído en material de desecho, lo que reduce el"
,,,2013-08-13,https://www.cric-colombia.org/portal/organizaciones-de-arica-y-parinacota-alzan-la-voz-por-grave-contaminacion-de-desechos-toxicos-a-causa-de-la-mineria/,Consejo Regional Indígena del Cauca - CRIC,,Arica y Parinacota,Arica,,,,,,,,,,,"23 Julio, 2013. Señalan: “Condenamos y denunciamos, la larga historia de este conflicto, con desarticulación e intervención política de los"
,,,2018-10-17,https://www.laizquierdadiario.cl/Pueblos-de-Arica-y-Parinacota-contra-Transnacional-Minera,La Izquierda Diario Chile,,Arica y Parinacota,Arica,,,,,,,,,,,"Convocadas por la organización ""Belén dice No a la Minería"" más de un centenar de personas se movilizaron por las calles de la ciudad este"
,,,2024-07-21,https://www.soychile.cl/arica/sociedad/2024/07/18/869030/salar-quiborax-cde.html,soychile.cl,,Arica y Parinacota,Arica,,,,,,,,,,,El empresa reclama que nunca han tenido una sanción en 37 años por Salar de Surire.hace 4 meses
,,,2024-04-19,https://www.elciudadano.com/actualidad/desastre-ambiental-en-socoroma-derrame-de-petroleo-amenaza-salud-y-agricultura-de-la-comunidad/04/19/,elciudadano.com,,Arica y Parinacota,Arica,,,,,,,,,,,"El hecho ocurrió en el kilómetro 113 de la Ruta 11CH, cuando un camión volcó con 20 mil litros de hidrocarburo en su interior, de los cuales"
,,,2013-09-30,https://www.elciudadano.com/organizacion-social/arica-va-a-paro-este-lunes-en-contra-de-termoelectrica-y-proyecto-minero/09/30/,elciudadano.com,,Arica y Parinacota,Arica,,,,,,,,,,,"En rechazo a la central termoeléctrica Cerro Chuño, al proyecto minero los Pumas y a las semillas transgénicas organizaciones sociales,"
,,,2023-05-05,https://elpais.com/chile/2023-05-05/crisis-migratoria-en-chile-y-peru-que-esta-pasando-en-la-frontera-entre-arica-y-tacna.html,EL PAÍS,,Arica y Parinacota,Arica,,,,,,,,,,,"Cientos de personas, en su mayoría venezolanos, han intentado cruzar la zona limítrofe para retornar a su nación de origen. El conflicto"
,,,2013-09-26,https://www.elmorrocotudo.cl/noticia/sociedad/pueblos-de-chile-y-peru-afectados-por-conflictos-socioambientales-fortalecen-frente,elmorrocotudo.cl,,Arica y Parinacota,Arica,,,,,,,,,,,"Mientras los gobiernos de Perú y Chile concentran esfuerzos en sus divergencias ante el juicio en La Haya, los pueblos bifronterizos se unen"
,,,2015-04-14,https://puranoticia.pnt.cl/noticias/regiones/artistas-se-suman-a-marcha-esteestadonosmata-en-arica/2015-04-14/104711.html,Home Puranoticia,,Arica y Parinacota,Arica,,,,,,,,,,,El miercoles 15 de abril se realizará en Arica la marcha #Esteestadonosmata para colocar en evidencia los conflictos socio ambientales de la
,,,2022-01-18,https://es.mongabay.com/2022/01/comunidades-indigenas-aymaras-que-le-ganaron-a-la-mineria-en-chile/,Mongabay - Conservation News,,Arica y Parinacota,Arica,,,,,,,,,,,"A 20 metros de la Reserva Nacional Las Vicuñas, una minera canadiense explora, desde 2017, el cerro Anocarire en busca de oro.hace 34 meses"
,,,2016-08-12,https://www.elmorrocotudo.cl/noticia/listado/opinion-picaflor-de-arica-especie-muy-utilizada-por-las-autoridades-la-espera-de-pro,www.elmorrocotudo.cl,,Arica y Parinacota,Arica,,,,,,,,,,,"Las autoridades han utilizado la imagen del Picaflor de Arica, ofreciendo recursos y protección para un ave endémica de la Región.hace 99 meses"
,,,2018-02-20,https://www.duna.cl/noticias/2018/02/20/encuesta-nacional-de-medio-ambiente-2018-los-rios-es-la-region-que-mas-separa-sus-residuos-con-un-58/,Radio Duna,,Arica y Parinacota,Arica,,,,,,,,,,,"El 57% de los chilenos separa los residuos de su basura para reciclar. Así, el 76% de ellos reveló que el principal producto que aparta son"
,,,2013-07-04,https://www.elamaule.cl/noticia/sociedad/justicia-acoge-denuncia-por-contaminacion-del-agua-con-metales-pesados,www.elamaule.cl,,Arica y Parinacota,Arica,,,,,,,,,,,El Segundo Tribunal Ambiental declaró admisible una denuncia presentada por organizaciones de la región de Arica y Parinacota por
